x1 x2 true_label pred_label
-0.9319 -1.5910 0 0
-1.1360 -0.5226 0 0
-0.5188 -1.5013 0 0
-1.9267 0.1279 1 1
1.0229 -0.5558 1 1
0.7043 0.7099 0 0
1.7744 -0.9216 1 1
0.9624 -0.3370 1 1
-1.1753 0.3581 1 1
0.4788 1.3537 0 0
0.5261 2.1120 0 0
-0.5208 -0.9320 0 0
0.1852 1.0687 0 0
1.3065 0.4598 0 0
-0.8146 -1.0212 0 0
-0.4949 -0.5923 0 0
0.1543 0.4408 0 0
-0.1483 -2.3184 0 0
-0.3980 1.0805 1 1
-1.7809 1.5080 1 1
0.3094 -0.5003 1 1
1.0350 1.6896 0 0
-0.0045 1.6668 1 1
0.1539 -1.0603 1 1
-0.5727 0.0836 1 1
0.3999 1.9892 0 0
-0.0720 -0.9061 0 0
-2.0487 -1.0811 0 0
0.0176 0.0782 0 0
0.1932 0.4097 0 0
-0.9291 0.2762 1 1
-0.5389 0.4626 1 1
-0.8719 -0.0271 0 0
-0.3532 1.4639 1 1
1.2554 -0.7150 1 1
0.8539 0.5130 0 0
0.5397 0.5655 0 0
0.5058 0.2225 0 0
-0.6855 0.5636 1 1
-1.5072 -1.6107 0 0
-1.4790 0.4323 1 1
-0.1250 0.7821 1 1
-1.5988 -0.1091 0 0
0.7152 0.0391 0 0
1.3059 0.2466 0 0
-1.9776 0.0179 1 1
-1.3793 0.6258 1 1
-2.5850 -0.0240 0 0
-0.1222 -0.7470 0 0
1.7093 0.0579 0 0
1.1930 1.9373 0 0
0.7287 0.9809 0 0
0.4146 1.1566 0 0
0.2691 -0.0366 1 1
0.9733 -1.0151 1 1
-0.5419 -0.4410 0 0
-0.3136 -0.1293 0 0
-0.7150 -0.0476 0 0
2.0207 0.2539 0 0
0.9364 0.7122 0 0
-0.0318 0.1016 1 1
1.3433 0.7133 0 0
0.4038 -0.7140 1 1
0.8337 -0.9585 1 1
0.4536 1.2461 0 0
-2.3065 -1.2869 0 0
0.1799 -2.1268 1 1
-0.1341 -1.0408 0 0
-0.7647 -0.0553 0 0
1.2049 -0.9825 1 1
0.4334 -0.7172 1 1
1.0554 -1.4534 1 1
0.4652 0.3714 0 0
-0.0047 0.0795 1 1
0.3782 0.7051 0 0
-1.7237 -0.8435 0 0
0.4351 0.2659 0 0
-0.5871 0.0827 1 1
0.8854 0.1824 0 0
0.7864 -0.0579 1 1
0.5667 -0.7098 1 1
-0.4875 0.0501 1 1
0.6084 1.6309 0 0
-0.0847 1.0844 1 1
0.9478 -0.6766 1 1
-0.5730 -0.3303 0 0
-0.7939 0.3752 1 1
0.0879 -1.2415 1 1
-0.3203 -0.8444 0 0
-0.5513 1.9890 1 1
1.9003 1.6951 0 0
0.0281 -0.1754 1 1
-1.7735 -0.7046 0 0
-0.3947 1.8868 1 1
-0.2184 0.1663 1 1
2.1442 1.7046 0 0
0.3459 0.6425 0 0
-0.2040 0.6854 1 1
-0.1397 -1.1808 0 0
-1.2829 0.4485 1 1
-0.5907 0.8541 1 1
-0.4901 -0.3595 0 0
0.6664 -0.0743 1 1
-0.2096 0.1663 1 1
1.4703 -0.9391 1 1
-0.6013 -0.0996 0 0
-0.9852 -2.4885 0 0
-0.3313 0.8436 1 1
0.9874 -0.3320 1 1
-0.8076 0.8244 1 1
0.0247 -1.0641 1 1
-0.7602 -0.4075 0 0
0.9624 -0.1426 1 1
0.1527 -0.0388 1 1
0.9446 -1.5824 1 1
0.9871 1.1457 0 0
-0.1418 -0.2763 0 0
-0.1932 0.7768 1 1
0.6839 -1.3246 1 1
-0.5161 0.6002 1 1
-0.4702 -0.6086 0 0
-0.0462 -1.6457 0 0
-0.4833 -0.7403 0 0
0.3143 0.1416 0 0
1.0348 -0.6264 1 1
-0.5151 0.6903 1 1
-0.4940 1.1366 1 1
-0.4618 1.4200 1 1
0.8485 -0.0479 1 1
0.6686 1.0430 0 0
0.6899 -1.3129 1 1
0.0378 -1.1702 1 1
-0.1032 1.1895 1 1
0.7607 -0.7463 1 1
-1.3839 0.4869 1 1
-1.0020 0.0329 1 1
-0.4292 -0.9818 0 0
-0.6421 0.8266 1 1
1.5914 -0.1208 1 1
-0.4830 0.1133 1 1
0.0772 -0.9228 1 1
-1.2620 1.0861 1 1
1.0966 -0.6837 1 1
0.0660 -0.0008 1 1
0.1621 1.1960 0 0
-1.3062 -1.4040 0 0
-1.0597 0.3057 1 1
0.4151 -0.7174 1 1
2.8340 1.9535 0 0
2.0487 -1.0880 1 1
1.6217 0.8513 0 0
-0.4005 -0.6088 0 0
-0.5081 -0.6185 0 0
-1.6470 -1.0362 0 0
-0.4503 -0.0730 0 0
-0.5480 -1.1426 0 0
-0.4488 -0.0305 0 0
0.3830 -0.0448 1 1
1.1799 -0.3314 1 1
0.6495 0.0950 0 0
-0.7526 -0.6472 0 0
-1.2823 1.9653 1 1
-0.9638 -2.5668 0 0
0.7096 0.8198 0 0
0.6214 0.4232 0 0
-0.3389 0.5180 1 1
-1.3638 0.1930 1 1
-0.6103 0.1632 1 1
1.5102 0.2123 0 0
-0.7252 -0.9528 0 0
0.5217 -0.4639 1 1
0.1824 -0.3867 1 1
-1.7907 0.0933 1 1
-1.9153 -0.6422 0 0
1.3439 -1.2922 1 1
0.7662 0.6454 0 0
0.3533 -2.6475 1 1
-1.4575 -0.9712 0 0
0.2540 -0.1791 1 1
1.1993 -0.4292 1 1
1.0103 0.6110 0 0
1.2208 -0.6076 1 1
-1.7376 -0.1254 0 0
-1.3658 1.1117 1 1
-0.6228 -0.7892 0 0
-0.1678 1.6433 1 1
2.0071 -1.2531 1 1
1.1189 1.7733 0 0
-2.0717 -0.4125 0 0
-0.9770 -0.0336 0 0
1.8595 2.6221 0 0
0.3691 0.3803 0 0
0.1990 -0.2361 1 1
0.3034 -0.4501 1 1
0.4739 0.6503 0 0
1.1662 0.0169 0 0
0.5326 -0.6035 1 1
-0.1743 0.6092 1 1
-0.8032 -1.1209 0 0
0.1956 -0.7815 1 1
-1.7899 -0.2616 0 0
-0.4403 2.1848 1 1
-0.4801 -1.2872 0 0
0.7389 0.0339 0 0
-0.3123 -0.2542 0 0
-1.2055 -0.9542 0 0
0.0613 0.0853 0 0
0.7481 -0.1636 1 1
-0.9086 0.3130 1 1
0.8050 -1.1134 1 1
0.4982 -1.2000 1 1
0.1271 0.4404 0 0
0.6378 0.1598 0 0
1.7698 0.6268 0 0
-1.8737 2.3259 1 1
-0.9204 0.6661 1 1
-0.4403 -2.3180 0 0
1.2946 0.2227 0 0
-0.8483 1.6489 1 1
1.6006 -0.0786 1 1
0.4310 0.3684 0 0
0.7638 1.1792 0 0
-0.4138 0.5184 1 1
-0.7015 -0.4323 0 0
0.1415 0.0711 0 0
0.5634 -0.5786 1 1
-1.0838 -0.3889 0 0
0.8126 1.4981 0 0
0.0439 1.4443 0 0
0.2320 0.5065 0 0
-1.2787 -0.0384 0 0
1.9138 0.3378 0 0
0.1251 -0.7622 1 1
-1.1906 0.7756 1 1
0.4557 0.2503 0 0
-1.3611 1.8018 1 1
-0.0743 -0.1566 0 0
-0.8708 -0.6411 0 0
-0.4146 -0.6902 0 0
-0.2300 -2.1723 0 0
0.0877 1.0938 0 0
-0.1177 -0.2986 0 0
-0.9536 -0.0925 0 0
-1.0167 -0.0077 0 0
-0.5182 0.8395 1 1
0.0585 -1.6682 1 1
2.1296 -1.5181 1 1
0.1387 -1.1798 1 1
-0.5297 0.9625 1 1
0.2794 -0.5718 1 1
-2.7936 -0.7112 0 0
0.5235 -1.7106 1 1
0.8385 -0.2698 1 1
0.1231 0.8758 0 0
0.1513 0.7394 0 0
0.2731 2.7312 0 0
0.4320 -0.3092 1 1
-0.0966 1.5419 1 1
-0.1087 -0.4189 0 0
1.4384 -0.7068 1 1
-1.2520 3.0250 1 1
1.3463 0.8556 0 0
0.3220 0.4461 0 0
1.5230 1.2805 0 0
-0.1162 1.3705 1 1
-0.4809 -0.9904 0 0
-1.3642 0.0082 1 1
-0.4059 -0.7111 0 0
-0.3496 0.3797 1 1
0.9993 1.2752 0 0
0.9595 0.1035 0 0
0.8290 2.0921 0 0
0.7953 0.2793 0 0
0.1864 0.3547 0 0
0.0906 1.7423 0 0
-1.2660 0.3892 1 1
0.3429 -1.4591 1 1
-1.4937 -0.2214 0 0
0.2252 -0.0772 1 1
0.9857 1.2783 0 0
0.2882 0.8690 0 0
-0.8097 -1.4299 0 0
0.4590 0.5309 0 0
-1.3615 1.9562 1 1
1.7685 -0.9858 1 1
-1.2371 -2.3019 0 0
-0.0010 -0.8494 0 0
-1.6594 0.3063 1 1
1.1820 0.3260 0 0
-0.3894 2.8544 1 1
0.8244 0.7983 0 0
1.8890 0.5935 0 0
0.0697 -1.6034 1 1
-0.4298 0.5762 1 1
0.3444 -3.1016 1 1
-1.4587 -1.4318 0 0
-0.6071 -0.2597 0 0
-0.7190 -0.3858 0 0
0.5234 -0.8212 1 1
-0.4709 0.6016 1 1
-0.2825 0.7693 1 1
-0.7669 -0.9495 0 0
0.0169 0.0803 0 0
0.7448 1.3455 0 0
0.1268 -2.4521 1 1
0.4160 1.9025 0 0
-0.7347 0.0447 1 1
-1.5211 0.3478 1 1
0.7402 1.4162 0 0
0.6834 -0.1383 1 1
