x1 x2 x3 x4 encoded1 encoded2 decoded1 decoded2 decoded3 decoded4
3.8623 1.0119 -4.3092 -0.5649 4.5331 0.7792 3.6996 -0.7211 -4.1423 -0.1438
-0.2721 1.6354 1.9642 0.2880 -2.1287 1.7344 -0.1045 -0.1076 1.9408 0.0204
2.2830 0.0186 -5.4174 0.4627 4.9456 2.1338 2.2026 -0.5398 -5.2327 -0.2156
-0.7507 1.0331 -2.0600 0.3184 1.3771 2.2940 -0.9384 0.1381 -1.8921 -0.0067
-1.9453 0.9585 4.8576 0.7253 -5.0571 4.3611 -1.7456 -0.1307 4.8721 -0.0392
0.5390 -0.2104 -2.1984 0.0521 2.0271 1.3647 0.5927 -0.0592 -2.1558 -0.0314
0.6975 0.9676 -1.3971 0.8024 1.3590 0.9043 0.6178 -0.0060 -1.3017 0.0212
-4.9602 -0.4175 -3.5864 0.4062 0.7407 7.0172 -4.8686 0.0527 -3.4582 -0.0081
-3.8011 0.2286 0.0746 -0.1730 -1.7043 5.4990 -3.7132 -0.0740 0.0943 0.0227
0.5737 -0.7308 0.5245 -0.5470 -0.6373 0.5639 0.4994 -0.0558 0.6252 0.0384
-3.2043 1.3529 3.8665 0.0261 -4.5591 5.0222 -3.0616 -0.1577 3.8188 -0.0098
-3.0937 0.7567 2.3266 1.0133 -3.3437 4.7622 -3.1692 -0.1541 2.3847 0.0401
0.0716 0.1206 -2.4170 -0.1038 2.0420 1.7380 0.0897 0.0122 -2.3657 -0.0459
-1.8639 -1.5910 -3.4079 -0.2613 2.2807 3.4541 -1.6908 0.1647 -3.4265 -0.0590
-1.0375 -1.5013 -5.7800 0.0639 4.3760 4.0039 -0.9081 -0.0419 -5.6951 -0.2538
2.0458 -0.5558 2.1128 0.3549 -1.6922 0.0448 2.0094 -0.0679 2.1540 0.0067
3.5488 -0.9216 2.8873 -0.1685 -2.0887 -0.2731 2.9998 0.1556 2.9536 -0.0695
-2.3507 0.3581 1.4363 0.6769 -2.3787 3.8157 -2.3567 -0.1305 1.4868 0.0454
1.0521 2.1120 -1.5623 -0.4660 1.5584 0.8626 0.8584 -0.0577 -1.4624 0.0120
0.3703 1.0687 3.9196 0.2299 -3.5969 2.0240 0.5521 -0.0905 3.9250 -0.0273
-1.6293 -1.0212 -1.4848 -0.2961 0.3851 2.9523 -1.5352 0.0226 -1.3714 0.0214
0.3086 0.4408 -0.4449 -1.1592 0.6051 0.6984 0.3373 0.0675 -0.4758 0.0203
-0.7960 1.0805 -5.3426 0.7540 3.9180 3.7464 -0.9714 0.0062 -5.1402 -0.2199
0.6189 -0.5003 3.1050 0.8448 -2.9301 1.6287 0.6338 -0.0909 3.1560 -0.0102
-0.0090 1.6668 0.4618 -0.5301 -0.7732 1.1744 -0.1258 -0.0905 0.4529 0.0598
-1.1453 0.0836 1.1997 0.9946 -1.8392 2.4174 -1.1891 -0.1322 1.2685 0.0582
-0.1440 -0.9061 -6.1461 -0.5405 4.8955 3.7564 -0.0894 -0.2044 -6.0406 -0.2724
0.0352 0.0782 0.5795 0.2048 -0.9375 1.0373 0.0306 -0.0974 0.6276 0.0472
-1.8583 0.2762 -1.6166 0.2313 0.4820 3.3379 -1.8486 0.0299 -1.6375 0.0176
-1.7438 -0.0271 -1.0597 0.7319 -0.1803 3.2318 -1.7947 -0.0430 -1.0308 0.0374
2.5109 -0.7150 2.5618 0.2565 -1.9743 -0.0278 2.3202 -0.0610 2.5994 -0.0047
1.0795 0.5655 1.5174 0.1112 -1.4082 0.4851 1.1676 -0.0850 1.5216 0.0246
-1.3710 0.5636 -4.5215 -0.8053 3.2200 3.6138 -1.4274 0.1314 -4.4313 -0.1777
-2.9581 0.4323 -0.3751 0.3911 -1.0748 4.6018 -2.9535 -0.0634 -0.4001 0.0293
-3.1975 -0.1091 2.1456 0.0196 -3.2212 4.7563 -3.1599 -0.1491 2.2333 0.0395
2.6117 0.2466 -5.9328 0.0089 5.4338 2.2436 2.4980 -0.6240 -5.7375 -0.2457
-2.7586 0.6258 -7.7549 -0.0120 5.2409 6.0195 -2.9056 0.1732 -7.5475 -0.3740
-0.2444 -0.7470 5.1279 0.0290 -4.8413 3.1082 -0.0992 -0.0994 5.1866 -0.0532
2.3860 1.9373 2.1861 0.4904 -1.5627 -0.3484 2.8739 0.3239 2.2753 -0.0885
0.8292 1.1566 0.8072 -0.0183 -0.7639 0.3302 0.9280 -0.0499 0.9096 0.0307
1.9466 -1.0151 -1.6258 -0.2205 2.0621 0.3014 2.0242 -0.2819 -1.6666 0.0218
-0.6272 -0.1293 -2.1449 -0.0238 1.6215 2.0395 -0.6225 0.1305 -2.1036 -0.0266
4.0415 0.2539 2.8093 0.3561 -1.6939 -0.6167 3.7204 0.6946 2.6692 -0.1826
-0.0635 0.1016 4.0299 0.3566 -3.8537 2.4923 0.0655 -0.0992 4.0628 -0.0284
0.8076 -0.7140 2.5012 -0.4793 -2.3334 1.1332 0.9110 -0.0873 2.5388 0.0026
0.9073 1.2461 -6.9195 -0.6434 5.6487 3.6961 0.6843 -0.3802 -6.6985 -0.3105
0.3598 -2.1268 -0.4022 -0.5204 0.2700 0.6296 0.3772 0.0308 -0.1616 0.0304
-1.5294 -0.0553 3.6146 -0.4912 -3.8978 3.4738 -1.3156 -0.1258 3.6352 -0.0130
0.8669 -0.7172 3.1661 -0.7267 -2.8622 1.3337 1.0089 -0.0838 3.2052 -0.0129
0.9303 0.3714 -0.0140 0.0398 0.3422 0.0528 0.9708 0.0479 -0.0135 0.0743
0.7564 0.7051 -5.1711 -0.4217 4.3047 2.8405 0.6370 -0.2591 -5.0177 -0.2073
0.8703 0.2659 -1.7613 0.0413 1.7599 0.9827 0.8767 -0.0775 -1.7101 -0.0031
1.7708 0.1824 2.3591 -0.0290 -1.9239 0.2662 1.8600 -0.0701 2.3792 0.0022
1.1333 -0.7098 -1.4625 0.0250 1.6740 0.6505 1.2578 -0.1253 -1.4566 0.0136
1.2168 1.6309 -0.2542 0.5422 0.5022 -0.0165 1.2564 0.1439 -0.0958 0.0693
1.8955 -0.6766 -1.7191 -0.1652 2.0940 0.3883 2.0057 -0.2690 -1.7032 0.0008
-1.5879 0.3752 0.2637 -0.6207 -1.1239 2.9656 -1.6126 -0.0934 0.1952 0.0480
-0.6405 -0.8444 -1.6540 0.9945 1.1874 1.9293 -0.6496 0.1213 -1.5545 0.0002
3.8006 1.6951 0.0843 -0.0877 0.8945 -0.8391 3.8913 1.1248 0.3001 -0.1929
-3.5470 -0.7046 -1.1840 0.9434 -0.7081 5.2395 -3.4633 -0.0374 -1.0667 0.0200
-0.4369 0.1663 6.4325 0.8523 -5.9782 3.8099 -0.2784 -0.0995 6.4839 -0.0818
0.6918 0.6425 -0.6119 0.3427 0.7995 0.4897 0.6850 0.0303 -0.5793 0.0654
-0.2794 -1.1808 -3.8488 0.2242 3.1015 2.6124 -0.1497 -0.0432 -3.7960 -0.1346
-1.1815 0.8541 -1.4702 -0.1797 0.7249 2.5922 -1.2205 0.0637 -1.4841 0.0122
1.3327 -0.0743 -0.6288 0.0832 1.0519 0.1579 1.2876 -0.0913 -0.6711 0.0832
2.9406 -0.9391 -1.8040 -0.0498 2.4444 0.1154 2.7847 -0.1785 -1.9069 -0.0285
-1.9703 -2.4885 -0.9940 0.4218 -0.4469 3.2557 -1.8256 -0.0605 -0.7460 0.0410
1.9749 -0.3320 -2.4229 0.4122 2.6074 0.7217 2.0146 -0.3139 -2.3487 -0.0388
0.0494 -1.0641 -2.2806 -0.2038 2.0138 1.6321 0.2104 -0.0028 -2.2842 -0.0405
1.9247 -0.1426 0.4581 -0.0194 0.1836 -0.2269 1.6106 0.3961 0.3153 0.0009
1.8892 -1.5824 2.9614 0.5728 -2.4824 0.5622 1.8422 -0.0688 3.0409 -0.0127
-0.2836 -0.2763 -0.5796 0.3884 0.1811 1.4217 -0.2815 0.0137 -0.4666 0.0311
1.3678 -1.3246 -1.5482 0.3001 1.8372 0.5452 1.5531 -0.1818 -1.5507 0.0088
-0.9404 -0.6086 -0.1386 -0.8229 -0.6588 2.1611 -0.9348 -0.0867 -0.1160 0.0541
-0.9667 -0.7403 0.9428 0.0708 -1.5288 2.1239 -0.9367 -0.1245 0.9761 0.0598
2.0696 -0.6264 -1.5453 0.3451 1.9860 0.2387 1.9923 -0.2795 -1.5897 0.0390
-0.9880 1.1366 -1.3855 0.7100 0.6680 2.4395 -1.0973 0.0587 -1.3630 0.0143
1.6970 -0.0479 2.0057 0.5215 -1.6789 0.2417 1.7162 -0.0736 2.0362 0.0106
1.3798 -1.3129 0.1134 -0.5851 0.3019 0.1855 0.7966 0.0196 0.0047 0.0485
-0.2064 1.1895 2.2821 -0.3732 -2.3683 1.7808 0.0039 -0.1048 2.2651 0.0126
-2.7678 0.4869 -3.0061 0.0165 1.3440 4.5736 -2.8253 0.1148 -2.9533 -0.0107
-0.8584 -0.9818 -1.9262 0.4133 1.3816 2.1718 -0.8253 0.1349 -1.8539 -0.0082
3.1828 -0.1208 -1.4491 0.0566 2.1772 -0.0833 3.0706 0.0877 -1.4979 -0.0668
0.1543 -0.9228 -3.7860 0.5430 3.1504 2.3599 0.2445 -0.1043 -3.7079 -0.1280
2.1933 -0.6837 0.1981 -0.0004 0.5945 -0.1719 1.7407 0.3399 0.0057 0.0229
0.3241 1.1960 -3.9185 -0.7020 3.2065 2.4366 0.1897 -0.1012 -3.7996 -0.1338
-2.1194 0.3057 1.2452 -0.3587 -2.1395 3.4818 -2.0738 -0.1264 1.2966 0.0479
5.6679 1.9535 6.1460 -0.5440 -4.0687 -0.9403 6.1755 0.9057 6.3531 -0.3312
3.2434 0.8513 -1.2014 -0.3044 1.9521 -0.2667 3.3561 0.3313 -1.1399 -0.1038
-1.0162 -0.6185 -4.9411 -0.5181 3.7085 3.5966 -0.9560 0.0217 -4.8696 -0.2032
-0.9006 -0.0730 -1.6439 -0.5713 1.0976 2.2101 -0.8860 0.1087 -1.6137 0.0022
-0.8975 -0.0305 1.1491 -0.0224 -1.6904 2.0834 -0.9052 -0.1250 1.1487 0.0454
2.3599 -0.3314 1.9485 0.0475 -1.4956 -0.0975 2.1177 -0.0325 1.9643 -0.0000
-1.5052 -0.6472 -3.8468 0.9826 2.6677 3.3184 -1.4241 0.1555 -3.8092 -0.1019
-1.9277 -2.5668 2.1288 0.4099 -2.8590 3.4418 -2.0291 -0.1427 2.1447 0.0238
1.2429 0.4232 -1.0167 0.2590 1.2838 0.4041 1.2414 -0.0897 -0.9696 0.0435
-2.7275 0.1930 -1.8310 0.0816 0.1507 4.3973 -2.7403 -0.0164 -1.8657 0.0248
3.0203 0.2123 -2.1756 -0.4764 2.7188 0.0758 3.1696 -0.1559 -2.1232 -0.0603
1.0434 -0.4639 0.5471 -0.1933 -0.3848 0.1225 0.9561 -0.0185 0.6514 0.0298
-3.5814 0.0933 -5.7458 -0.3211 3.3625 5.9461 -3.5996 0.2253 -5.6584 -0.1104
2.6877 -1.2922 2.2987 0.3227 -1.7913 -0.0272 2.1856 -0.0642 2.3338 0.0019
0.7066 -2.6475 -4.3726 -0.4856 3.9073 2.3171 0.9974 -0.2774 -4.3784 -0.1668
0.5081 -0.1791 3.5979 -0.2146 -3.3216 1.8154 0.6512 -0.0894 3.6303 -0.0210
2.0206 0.6110 3.6625 -0.3038 -2.9135 0.5411 2.1877 -0.0608 3.6765 -0.0285
-3.4752 -0.1254 -4.0974 0.5559 1.9799 5.5136 -3.5692 0.1772 -3.9375 -0.0318
-1.2456 -0.7892 -0.5035 0.8217 -0.4962 2.5603 -1.2562 -0.0722 -0.4438 0.0483
4.0142 -1.2531 3.3566 0.8866 -2.4189 -0.2939 3.2726 0.1503 3.4473 -0.0819
-4.1433 -0.4125 -2.9309 -0.0168 0.5142 6.0269 -4.0643 0.0264 -2.8519 0.0044
3.7190 2.6221 1.1072 0.1901 -0.0613 -0.9650 4.0312 1.3652 1.2447 -0.2162
0.3980 -0.2361 0.9102 -0.2250 -1.1137 0.8202 0.4708 -0.0950 0.9526 0.0394
0.9478 0.6503 3.4987 0.0085 -3.0905 1.3830 1.1048 -0.0813 3.5116 -0.0203
1.0652 -0.6035 -0.5228 0.3046 0.9167 0.2529 1.1142 -0.0402 -0.5540 0.0687
-1.6064 -1.1209 0.5869 -0.3908 -1.4700 2.8363 -1.5193 -0.1099 0.6702 0.0514
-3.5798 -0.2616 -1.3208 1.0924 -0.5875 5.3299 -3.5330 -0.0309 -1.2469 0.0184
-0.9602 -1.2872 2.2166 0.0169 -2.6369 2.5497 -0.9068 -0.1216 2.2695 0.0163
-0.6246 -0.2542 -3.6166 -0.4771 2.7903 2.7159 -0.5782 0.0452 -3.5654 -0.1218
0.1226 0.0853 2.2444 -0.0818 -2.2969 1.5810 0.2395 -0.1004 2.2616 0.0117
-1.8171 0.3130 2.4151 -0.5567 -2.9666 3.2315 -1.6476 -0.1350 2.4061 0.0163
0.9963 -1.2000 0.3813 0.2202 -0.3175 0.2650 0.7019 -0.0227 0.4883 0.0344
1.2755 0.1598 5.3094 0.3134 -4.5374 1.8987 1.4202 -0.0709 5.3517 -0.0632
-3.7473 2.3259 -2.7612 0.3331 0.5228 5.8499 -3.9187 0.0238 -2.8050 0.0063
-0.8805 -2.3180 3.8837 0.1113 -4.0476 3.2258 -0.8489 -0.1163 3.9767 -0.0226
-1.6967 1.6489 4.8017 -0.0393 -4.8857 4.0318 -1.3967 -0.1245 4.7885 -0.0387
0.8621 0.3684 2.2914 0.5896 -2.1401 1.0281 0.9210 -0.0877 2.3110 0.0077
-0.8276 0.5184 -2.1046 -0.2162 1.4529 2.3056 -0.9232 0.1381 -1.9902 -0.0119
0.2830 0.0711 1.6901 -0.2893 -1.7823 1.2081 0.4002 -0.0988 1.7020 0.0237
-2.1676 -0.3889 2.4378 0.7491 -3.1552 3.6435 -2.1029 -0.1433 2.4733 0.0166
0.0878 1.4443 0.6961 0.2532 -0.9909 1.0600 0.0361 -0.1015 0.6683 0.0472
-2.5574 -0.0384 5.7414 0.1689 -5.9856 5.2360 -2.3265 -0.1392 5.7805 -0.0573
0.2501 -0.7622 -3.5717 0.3878 3.0105 2.2060 0.3293 -0.1047 -3.4988 -0.1148
0.9114 0.2503 -4.0833 0.9009 3.5045 2.1620 0.8430 -0.2209 -3.9280 -0.1396
-0.1487 -0.1566 -2.6125 -0.3205 2.1531 1.9461 -0.0966 0.0297 -2.5770 -0.0595
-0.8291 -0.6902 -0.6899 -1.0861 0.0388 1.9839 -0.7530 -0.0073 -0.6166 0.0339
0.1754 1.0938 -0.3532 -0.1493 0.3381 0.9368 0.1269 0.0356 -0.3660 0.0276
-1.9072 -0.0925 -3.0500 -0.0038 1.8158 3.5990 -1.9816 0.1703 -2.9025 -0.0245
-1.0364 0.8395 0.1756 -0.8341 -0.8505 2.3780 -1.1202 -0.0922 0.0451 0.0532
4.2592 -1.5181 0.4162 -0.5899 1.0484 -0.6229 3.4432 0.8479 -0.0205 -0.1411
-1.0595 0.9625 0.8383 -0.2859 -1.4637 2.3118 -1.0886 -0.1186 0.8334 0.0573
-5.5873 -0.7112 1.5706 -0.8553 -3.4929 7.3311 -5.2830 -0.1163 1.7329 0.0119
1.6770 -0.2698 0.3692 0.4379 0.1079 -0.1035 1.2408 0.2323 0.3217 0.0181
0.3027 0.7394 0.8193 1.3656 -1.0849 0.9352 0.2839 -0.0997 0.8475 0.0428
0.8640 -0.3092 -0.2897 0.7710 0.5362 0.2659 0.8187 0.0169 -0.2601 0.0684
-0.2175 -0.4189 4.3153 -0.3534 -4.1296 2.7071 -0.0421 -0.1004 4.3553 -0.0346
-2.5039 3.0250 4.0388 0.4278 -4.4475 4.3930 -2.2373 -0.1421 3.9720 -0.0168
0.6441 0.4461 4.5689 0.6402 -4.0996 2.1300 0.7670 -0.0848 4.6010 -0.0435
-0.2323 1.3705 -1.4428 -0.4952 1.0981 1.6111 -0.3913 0.1142 -1.3271 0.0036
-2.7284 0.0082 -1.2176 -0.3555 -0.3665 4.3390 -2.7117 -0.0387 -1.1999 0.0283
-0.6992 0.3797 2.9979 0.6376 -3.1726 2.6057 -0.5957 -0.1140 3.0184 -0.0020
1.9190 0.1035 2.4871 1.0461 -2.0307 0.2874 1.9075 -0.0689 2.5233 -0.0012
1.5906 0.2793 0.5593 0.1774 -0.0916 -0.2036 1.5540 0.3635 0.6071 -0.0409
0.1813 1.7423 -3.7980 0.1946 3.0045 2.4620 -0.0305 -0.0522 -3.6280 -0.1239
0.6858 -1.4591 -4.4810 -0.1107 3.8914 2.4285 0.8286 -0.2517 -4.4224 -0.1701
0.4505 -0.0772 2.9571 0.6392 -2.8307 1.6668 0.5062 -0.0937 2.9927 -0.0060
0.5763 0.8690 -2.4291 -0.7149 2.1703 1.5158 0.5148 -0.0601 -2.3664 -0.0446
0.9180 0.5309 -4.0844 0.9781 3.4859 2.1696 0.8154 -0.2153 -3.9150 -0.1389
3.5370 -0.9858 -3.7112 -1.1509 4.1383 0.5637 3.5530 -0.6811 -3.7113 -0.0963
-0.0020 -0.8494 -4.9782 0.1531 4.0202 3.0694 0.0595 -0.1515 -4.8776 -0.2005
2.3641 0.3260 -1.1683 1.4272 1.6669 0.0414 2.2128 -0.0161 -1.1379 0.0072
1.6487 0.7983 5.6671 0.2967 -4.7047 1.6978 1.8319 -0.0624 5.6950 -0.0727
0.1393 -1.6034 -1.2895 0.2881 1.2134 1.0662 0.2603 0.0580 -1.2537 0.0230
0.6887 -3.1016 -4.3762 -0.7159 3.9433 2.3123 1.0370 -0.2862 -4.4089 -0.1686
-1.2143 -0.2597 -2.1571 -0.1929 1.3899 2.6484 -1.2331 0.1373 -2.0691 -0.0075
1.0467 -0.8212 -1.4126 0.3008 1.6082 0.6628 1.1805 -0.1085 -1.4028 0.0167
-0.5650 0.7693 -2.3007 -0.4747 1.7293 2.0793 -0.6222 0.1311 -2.2514 -0.0339
0.0338 0.0803 2.2345 0.6727 -2.3413 1.7117 0.0838 -0.1033 2.2606 0.0123
0.2536 -2.4521 1.2479 0.9513 -1.5441 1.3103 0.0789 -0.1058 1.3055 0.0340
-1.4693 0.0447 -4.5634 0.1739 3.2213 3.6570 -1.4861 0.1397 -4.4553 -0.1794
1.4804 1.4162 2.0502 -0.0691 -1.6995 0.3068 1.6374 -0.0751 2.0334 0.0110
1.8426 0.5282 -0.0247 -0.7247 0.6617 -0.2045 1.8917 0.3760 -0.0185 0.0095
-1.2104 -0.1792 0.5987 -0.6231 -1.2943 2.4629 -1.2063 -0.1090 0.5723 0.0547
-0.8292 1.4559 0.9950 -0.5001 -1.4979 2.0894 -0.9073 -0.1238 0.9488 0.0600
-1.3839 -0.4720 -3.8683 0.5381 2.7387 3.2261 -1.3010 0.1471 -3.7987 -0.1269
-2.1335 -1.9893 0.8919 0.2172 -1.9322 3.3541 -1.9614 -0.1200 1.0792 0.0481
0.0068 -1.0240 0.6721 -0.3777 -1.0396 1.1386 -0.0425 -0.1083 0.6675 0.0487
2.7352 -0.3197 -2.7393 0.9596 3.0464 0.4838 2.7226 -0.4577 -2.6380 -0.0483
-3.3030 2.1477 -1.9812 0.0568 0.0959 5.2662 -3.4555 -0.0038 -2.0807 0.0153
-0.4411 0.7118 1.0248 0.7943 -1.4547 1.6492 -0.4746 -0.1168 1.0060 0.0431
-0.6978 -0.4579 -3.6966 -0.2990 2.8367 2.7860 -0.6328 0.0491 -3.6449 -0.1268
-0.5631 0.0528 1.2749 0.2413 -1.6957 1.7821 -0.4898 -0.1163 1.2890 0.0367
0.9763 1.0082 -1.7850 0.1963 1.7539 0.9679 0.8918 -0.0792 -1.6968 -0.0023
1.6459 -0.8860 4.4403 0.4196 -3.7521 1.3096 1.6943 -0.0679 4.5078 -0.0453
-0.4001 0.9950 2.1606 -0.0671 -2.3405 1.9274 -0.2275 -0.1093 2.1513 0.0161
-2.8136 -2.3610 -0.8715 -0.0667 -0.8036 4.2071 -2.6196 -0.0590 -0.6103 0.0322
-0.3139 1.1383 -0.7516 0.8352 0.4228 1.5946 -0.4120 0.0391 -0.7524 0.0235
-1.0905 -2.1582 -4.9824 -0.3319 3.8129 3.5937 -0.8562 -0.0016 -4.9637 -0.2086
0.7316 -0.3992 1.4902 -1.1846 -1.4743 0.7113 0.8903 -0.0902 1.5042 0.0261
-1.1229 -0.5949 3.8062 0.6452 -4.0045 3.3391 -1.0436 -0.1202 3.8574 -0.0191
-2.3511 -0.0783 -2.9117 0.7362 1.4596 4.0819 -2.4134 0.1321 -2.8146 -0.0130
2.8217 -1.3144 -3.9486 -0.6262 4.1141 1.0437 2.9496 -0.5771 -3.8977 -0.1311
-3.1688 -2.5447 4.1157 -0.2690 -4.8841 5.1900 -3.0657 -0.1568 4.2060 -0.0186
1.4757 -0.8505 0.1083 0.6703 0.2565 0.1070 0.8376 0.0105 0.0596 0.0607
1.8400 -0.3788 -4.6793 -0.4005 4.3152 1.9735 1.8468 -0.4348 -4.5711 -0.1760
-1.4222 -0.3867 2.8735 -0.4113 -3.2652 3.1107 -1.2552 -0.1265 2.8997 0.0034
-4.7816 0.3222 5.6262 0.5521 -6.5195 7.0350 -4.5267 -0.1803 5.6536 -0.0453
-1.0448 -0.7402 0.4871 -0.1185 -1.1905 2.2444 -1.0232 -0.1085 0.5139 0.0566
1.0199 1.6706 4.7763 -0.2081 -4.0882 1.7651 1.2842 -0.0748 4.7672 -0.0494
3.7239 -1.0779 2.6546 -0.4171 -1.7169 -0.3853 3.0777 0.3571 2.5076 -0.1025
2.0601 -0.8681 -1.7105 0.1617 2.1351 0.2911 2.0869 -0.3004 -1.7378 0.0224
2.2570 -1.2123 7.8072 -0.0479 -6.3820 2.1498 2.4074 -0.0463 7.9010 -0.1251
-0.1623 1.2587 2.6074 -0.4805 -2.6205 1.8635 0.0692 -0.1028 2.5894 0.0049
0.1036 -0.3285 -6.7416 -0.2239 5.3696 3.9571 0.0672 -0.2673 -6.5802 -0.3051
0.8469 -0.3875 -0.6889 -0.2035 0.9909 0.4125 0.9613 -0.0244 -0.7060 0.0589
1.7406 -1.0553 -3.9852 0.3530 3.7760 1.6298 1.8285 -0.3864 -3.8966 -0.1346
0.7146 0.5893 2.7563 0.3331 -2.5517 1.3046 0.8237 -0.0883 2.7695 -0.0023
0.4930 0.1329 0.3657 0.2390 -0.5034 0.5657 0.4006 -0.0488 0.4848 0.0400
0.5523 -0.5896 1.7075 -0.3956 -1.7422 1.0221 0.6386 -0.0943 1.7371 0.0219
-0.3979 -1.3616 -1.5581 0.0382 1.2725 1.5599 -0.3032 0.1194 -1.4998 -0.0067
0.6801 1.4557 -1.0383 -0.1317 1.0839 0.7550 0.5724 0.0239 -0.9712 0.0413
-0.8954 -0.7288 -0.4820 -0.1603 -0.3711 2.1338 -0.8977 -0.0543 -0.3444 0.0457
-1.2615 -0.7888 3.9185 -0.4638 -4.1046 3.4201 -1.0870 -0.1208 3.9621 -0.0213
-0.5255 0.9315 -1.3780 -0.4710 0.9482 1.8660 -0.6095 0.0952 -1.3234 0.0074
-1.4178 2.1861 -1.9479 0.2261 0.8909 3.1035 -1.6343 0.0776 -1.8684 0.0061
1.7041 -1.6947 3.5418 -1.4465 -2.9499 0.7926 1.8523 -0.0672 3.6035 -0.0254
-0.7752 -0.7124 -4.8514 -0.1795 3.7037 3.4167 -0.7114 -0.0132 -4.7706 -0.1963
0.1027 0.6950 5.5055 -0.9590 -4.9664 2.8121 0.4187 -0.0890 5.5164 -0.0628
-2.7848 0.5405 1.3052 -1.1359 -2.3704 4.2238 -2.6913 -0.1232 1.3433 0.0408
-0.2677 -0.0586 0.3772 -0.2763 -0.8435 1.4028 -0.3180 -0.1004 0.4024 0.0614
0.1490 -0.1493 -1.6568 -0.0467 1.5027 1.2901 0.2154 0.0399 -1.6363 -0.0007
-2.0569 0.4044 6.4278 -0.2577 -6.3837 5.0410 -1.7547 -0.1270 6.4553 -0.0750
2.1654 1.2499 2.9464 0.1135 -2.2658 0.1289 2.3078 -0.0604 2.9438 -0.0124
0.9856 -0.5128 0.9019 0.0387 -0.9409 0.3631 1.0074 -0.0611 1.0720 0.0295
1.2955 -0.4324 3.5221 0.3506 -3.0657 1.1953 1.3570 -0.0765 3.5697 -0.0226
